200	81.9	0.0184	0	7.62
300	80.7	0.0187	0	7.94
400	79.7	0.0194	0	7.72
500	79	0.0197	0.1	6.08
600	78.9	0.0199	0.1	5.68
700	78.5	0.0202	0.5	3.87
800	78.7	0.0207	47.5	5.34
900	80.2	0.0209	221	6.19
1000	83.4	0.0201	436.7	7.43
1100	86.5	0.0178	576.8	9.93
1200	88.9	0.0156	723.7	8.37
1300	92	0.0133	1025	7.45
1400	93.3	0.0122	677.8	6.8
1500	94.5	0.0114	721.3	5.2
1600	96.3	0.0103	768.6	5.77
1700	97	0.01	587	5.08
1800	97	0.0098	353.3	5.65
1900	96.6	0.0098	230.3	6.26
2000	95.2	0.0104	44.5	6.03
2100	92.8	0.0113	-0.6	4.31
2200	90.4	0.0135	-0.5	5.56
2300	87.8	0.0158	-0.4	4.72
0	85.9	0.0173	-0.4	4.35
100	84.2	0.0186	-0.1	4.56
200	83	0.0192	-0.1	4.08
300	81.7	0.0199	0	3.02
400	80.7	0.0206	0	5.9
500	80.2	0.0212	0.1	6.71
600	79.6	0.0216	0.1	7.38
700	79	0.0216	0.4	5.32
800	79	0.0216	53.6	3.2
900	80.2	0.0222	228.8	5.32
1000	83.5	0.0209	393.3	7.26
1100	87.1	0.0179	626.6	6.96
1200	89.9	0.0152	740.8	7.01
1300	92.5	0.0134	739.3	3.68
1400	94.6	0.0116	915	3.26
1500	95.6	0.0106	589.5	2.85
1600	98.3	0.0097	883.8	2.21
1700	98.6	0.0095	696.8	5.49
1800	98.5	0.0097	457.7	6.36
1900	97.7	0.0092	208.8	7.21
2000	96.1	0.01	24.8	4.8
2100	94.4	0.0105	-0.6	4.24
2200	91.4	0.0127	-0.5	6.63
2300	88.7	0.0159	-0.4	4.27
0	86.8	0.0178	-0.2	4.77
100	85.3	0.0181	-0.2	4.52
200	84.1	0.0185	-0.1	6.96
300	83.2	0.0187	-0.1	4
400	82.6	0.0188	0	2.06
500	81.7	0.0194	0	9.63
600	80.8	0.02	0	10.35
700	80.1	0.0205	0.4	5.05
800	79.7	0.0207	44.3	3.46
900	81.1	0.0207	218.3	5.34
1000	84.2	0.0184	435.7	7.72
1100	88.4	0.0146	639.3	2.66
1200	92.4	0.0123	806.7	2.5
1300	94.1	0.0107	910.1	2.91
1400	96.6	0.0092	958.9	3.24
1500	98	0.0081	966.7	5.12
1600	98.8	0.0078	799.8	5.75
